load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
137,1024,504,3.841270967041663,9.984611773279353,2:179
137,1024,506,4.91111426056632,10.07352391699814,2:179
137,1024,509,4.421050538885275,8.998237716359709,2:179
137,1024,512,4.8544391505368,9.981321770004753,2:179
143,1024,515,4.853144833710182,7.8499843820416695,2:179
143,1024,517,4.795609590422439,9.757760527194757,2:179
143,1024,520,4.043625457644747,8.546841510645791,2:179
143,1024,523,4.6381513400031675,9.827203774959726,2:179
143,1024,525,4.57575470216179,9.96042894313197,2:179
156,1024,528,4.575754702161791,9.960428943131971,3:186
156,1024,531,4.437023670268981,10.130835972563231,3:186
143,1024,533,4.437023670268981,10.130835972563231,3:186
143,1024,535,5.221675334438472,9.243645775401994,3:186
143,1024,538,5.221675334438472,8.108526074182631,3:186
137,1024,540,6.201585621282196,6.668848137382912,3:186
137,1024,542,6.201585621282196,6.668848137382912,3:186
131,1024,545,5.82101689272038,5.077834681993664,3:186
131,1024,547,7.282120461325623,4.54159999889603,3:186
125,1024,549,6.267381543916666,2.4466021652162926,3:186
125,1024,552,8.524887990609757,2.2353419681502933,3:186
125,1024,554,8.524887990609757,2.0184578414071406,3:186
125,1024,557,9.532424608542478,0.20041523952075366,3:186
118,1024,559,9.723417776095584,0,3:186
118,1024,562,9.716651564574333,0,3:186
131,1024,564,8.748119624674057,0,3:186
131,1024,567,8.860984951329481,0,3:186
137,1024,570,8.671779600535695,0,3:186
137,1024,573,7.916523678324883,0,3:186
143,1024,576,6.766516331704974,0,3:186
150,1024,578,6.766516331704974,0,3:186
150,1024,581,5.775023605097608,0,3:186
150,1024,584,5.775023605097608,0,3:186
150,1024,587,4.8206176345828835,0,3:186
156,1024,590,4.564860075725474,0,3:186
156,1024,592,4.59874240422653,0,3:186
162,1024,595,4.572111519544426,2.2095496558828507,3:186
162,1024,598,4.572111519544427,2.9956081225006943,3:186
